,category_number,category_name
0,6000095799,사과
1,6000095800,배
2,6000095814,감귤
3,6000095815,만감류
4,6000095829,수박
5,6000095830,멜론
6,6000095831,참외
7,6000095832,방울토마토
8,6000095833,토마토
9,6000095844,딸기
10,6000095845,키위
11,6000095846,블루베리
12,6000095864,포도
13,6000095866,자두
14,6000095868,복숭아
15,6000095889,단감/홍시
16,6000095890,곶감/반건시
17,6000095904,바나나
18,6000095905,파인애플
19,6000095919,오렌지
20,6000095920,자몽
21,6000095921,레몬
22,6000095922,기타 시트러스
23,6000095937,망고
24,6000095940,기타 열대과일
25,6000095964,체리
26,6000095965,석류
27,6000095966,아보카도
28,6000095979,건과일
29,6000095980,과일분말
30,6000095994,사과/배 세트
31,6000095995,감귤/한라봉/천혜향 세트
32,6000095996,곶감/반건시 세트
33,6000144012,망고/키위/수입과일세트
34,6000143992,혼합과일세트
35,6000095997,샤인/메론/기타과일세트
36,6000096009,냉동과일
37,6000096010,간편과일
38,6000095797,기타 과일
39,6000096159,두부
40,6000096160,콩나물
41,6000096161,숙주나물
42,6000096174,고구마
43,6000096175,감자
44,6000096189,양파
45,6000096190,마늘
46,6000096191,파
47,6000096192,생강
48,6000096204,오이
49,6000096205,가지
50,6000096206,호박
51,6000096207,옥수수
52,6000096219,상추
53,6000096220,깻잎
54,6000096221,청경채
55,6000096222,케일/모듬쌈채소
56,6000096234,파프리카
57,6000096235,피망
58,6000096236,고추
59,6000096237,건고추/고춧가루
60,6000096249,시금치
61,6000096250,부추
62,6000096251,미나리
63,6000096252,쑥갓
64,6000096253,달래
65,6000096254,고사리
66,6000096255,시래기
67,6000096256,건나물/기타나물
68,6000096264,양배추
69,6000096265,양상추
70,6000096266,브로콜리/콜리플라워
71,6000096267,비트/콜라비
72,6000096268,기타 양채소
73,6000096279,샐러드 믹스채소
74,6000096280,어린잎/새싹/무순
75,6000096281,루꼴라/샐러리/기타
76,6000096294,당근
77,6000096295,우엉
78,6000096296,연근
79,6000096297,마/야콘
80,6000096298,기타 뿌리채소
81,6000096309,느타리버섯
82,6000096310,양송이버섯
83,6000096311,새송이버섯
84,6000096312,표고버섯
